net,length_um
_0240_,15.74
_2872_,15.74
_3484_,15.735
_1448_,15.72
_2769_,15.72
_0060_,15.705
_0760_,15.685
_0861_,15.68
_2828_,15.68
_3020_,15.68
_3772_,15.68
_1300_,15.64
_1804_,15.6
_2470_,15.6
seg[1],15.58
_1764_,15.56
_2712_,15.56
_3366_,15.56
_0254_,15.52
_2889_,15.52
_3210_,15.49
_1844_,15.48
_2080_,15.48
_4170_,15.46
_4231_,15.46
_3680_,15.44
rf.registers\[15\]\[15\],15.44
_2537_,15.43
_2700_,15.425
net46,15.42
_1397_,15.4
_2253_,15.4
_3890_,15.4
_4190_,15.4
_2708_,15.36
_1237_,15.34
_3011_,15.34
_3148_,15.34
_3373_,15.34
_3449_,15.34
display.refresh_counter\[2\],15.34
_0943_,15.32
_2614_,15.32
_2898_,15.3
_3568_,15.275
_0259_,15.26
_0711_,15.26
_3303_,15.26
_4266_,15.24
_1761_,15.22
_3795_,15.22
_1539_,15.2
_2471_,15.18
_3639_,15.18
_0664_,15.15
_1016_,15.14
_3978_,15.14
_2886_,15.12
_2307_,15.1
_2601_,15.1
_3901_,15.1
rf.registers\[10\]\[4\],15.1
_3335_,15.095
_0817_,15.08
_2069_,15.08
_2560_,15.08
_2633_,15.08
_1048_,15.06
_3120_,15.06
_3346_,15.055
_3527_,15.04
_1000_,15.02
_1925_,15.02
_1936_,15.02
_3499_,15.02
_4292_,15.02
_2807_,15.015
_1895_,15
_2880_,15
_2930_,15
_2993_,15
_0932_,14.96
_3278_,14.96
_3503_,14.96
_1014_,14.94
_1212_,14.94
_2743_,14.94
_4280_,14.94
display.refresh_counter\[10\],14.94
net109,14.94
_0537_,14.92
_1322_,14.92
_2876_,14.92
_3817_,14.92
_3245_,14.905
_0416_,14.9
_1709_,14.9
_1988_,14.9
_2829_,14.9
_1765_,14.88
_3875_,14.88
_2690_,14.86
_3128_,14.86
_0289_,14.85
_2642_,14.84
_3685_,14.84
net54,14.84
_2529_,14.82
_2964_,14.82
_0347_,14.8
_1285_,14.8
_2766_,14.8
_1339_,14.78
_2855_,14.78
display.refresh_counter\[18\],14.78
_0975_,14.76
_2341_,14.76
_3049_,14.76
_3282_,14.76
_3530_,14.76
_1535_,14.755
_3002_,14.72
_0402_,14.7
_1072_,14.68
_3473_,14.68
rf.registers\[15\]\[19\],14.68
_2749_,14.64
_3056_,14.64
_3578_,14.64
_3881_,14.64
rf.registers\[15\]\[5\],14.64
_2031_,14.635
_0400_,14.62
_2725_,14.58
net107,14.58
_1450_,14.56
_2034_,14.54
_2929_,14.54
_2992_,14.54
_2557_,14.52
_0283_,14.5
_3387_,14.5
_2163_,14.48
_3037_,14.48
_3448_,14.48
rf.registers\[15\]\[6\],14.48
_0305_,14.46
_2933_,14.46
rf.registers\[25\]\[6\],14.46
_0370_,14.44
_1674_,14.44
_3851_,14.425
_3172_,14.42
rf.registers\[15\]\[4\],14.42
rf.registers\[25\]\[25\],14.42
rf.registers\[5\]\[3\],14.42
_1900_,14.41
_1236_,14.4
_2822_,14.4
_3203_,14.4
_3226_,14.4
_3142_,14.38
_0303_,14.36
_1389_,14.36
_1299_,14.34
_3456_,14.335
_2899_,14.32
_0662_,14.3
_2177_,14.3
_2363_,14.3
_3340_,14.3
_3044_,14.28
_3974_,14.28
_0855_,14.275
_0280_,14.26
_3858_,14.24
rf.registers\[15\]\[23\],14.22
_3078_,14.2
_0459_,14.18
_2885_,14.18
_2989_,14.18
_3199_,14.18
_1601_,14.16
_1614_,14.14
_1957_,14.14
_3336_,14.14
_3558_,14.14
_2250_,14.12
_0312_,14.11
_2850_,14.1
_4304_,14.08
rf.registers\[10\]\[15\],14.08
_1413_,14.06
rf.registers\[25\]\[0\],14.06
_2835_,14.05
_1260_,14.04
_1664_,14.04
_3072_,14.04
net43,14.04
_0455_,14.02
_3536_,14.02
_1780_,14
_3075_,14
_3101_,14
_1543_,13.98
_3478_,13.98
an[4],13.98
_0730_,13.96
_3912_,13.96
_3917_,13.96
_3434_,13.94
_3689_,13.94
_0967_,13.92
_1762_,13.92
_3290_,13.92
_4236_,13.92
_1483_,13.88
_1984_,13.88
_3344_,13.88
_3362_,13.88
_2662_,13.86
_2014_,13.855
_1245_,13.84
_2790_,13.84
_3566_,13.84
display.refresh_counter\[8\],13.84
_2951_,13.835
_1263_,13.82
result[4],13.82
_1290_,13.8
_2057_,13.78
rf.registers\[5\]\[28\],13.78
_0272_,13.76
_3105_,13.76
rf.registers\[10\]\[9\],13.76
_0677_,13.74
_3597_,13.73
_0690_,13.72
_1937_,13.72
_2565_,13.7
_0547_,13.68
_2133_,13.68
_2330_,13.68
_0548_,13.66
_0558_,13.66
_3762_,13.655
_0858_,13.64
_1091_,13.64
_1100_,13.64
_0311_,13.635
_2634_,13.62
_3569_,13.62
_4123_,13.62
result[8],13.62
_3363_,13.6
_3654_,13.6
_0680_,13.58
_1668_,13.58
_2047_,13.56
_2715_,13.54
_3525_,13.54
_2144_,13.535
_1719_,13.52
_1825_,13.52
result[7],13.52
_2849_,13.5
_2925_,13.5
_3950_,13.5
display.refresh_counter\[16\],13.5
_1326_,13.48
_3753_,13.48
_1081_,13.475
rf.registers\[15\]\[22\],13.46
_2967_,13.44
_3705_,13.44
_1445_,13.43
_0261_,13.42
_0963_,13.42
_1317_,13.4
_2513_,13.4
_2977_,13.4
_3193_,13.36
_1898_,13.35
_2255_,13.34
_2319_,13.34
_4314_,13.33
_1643_,13.32
_3077_,13.32
_3594_,13.32
_0375_,13.3
_0797_,13.3
_3702_,13.3
_2343_,13.29
_3533_,13.29
_0408_,13.28
_2637_,13.28
_2962_,13.26
_3880_,13.26
display.refresh_counter\[13\],13.26
_0348_,13.24
_0762_,13.22
_1437_,13.22
_2544_,13.22
_3028_,13.22
_3588_,13.22
_2859_,13.18
_3808_,13.18
rf.registers\[15\]\[20\],13.16
net44,13.16
_0319_,13.14
_0848_,13.14
_1345_,13.14
_2540_,13.14
_1874_,13.1
_2155_,13.1
_2649_,13.1
_0341_,13.08
_2575_,13.08
_2893_,13.08
_3425_,13.08
_3733_,13.08
_1061_,13.06
_0497_,13.04
_2058_,13.04
_2348_,13.04
_3711_,13.04
net214,13.04
_3728_,13.02
rf.registers\[10\]\[25\],13.02
_1467_,13
_3240_,13
_3419_,13
display.refresh_counter\[0\],13
_0299_,12.98
_1591_,12.98
_2229_,12.98
_4256_,12.98
_3241_,12.96
_3426_,12.96
_1270_,12.94
_1680_,12.94
_2817_,12.94
_0247_,12.92
_2834_,12.92
_4153_,12.92
_0269_,12.9
_1133_,12.88
_2906_,12.88
_2994_,12.88
_3543_,12.88
rf.registers\[10\]\[0\],12.88
rf.registers\[25\]\[29\],12.88
_0460_,12.86
_1801_,12.86
_3821_,12.86
_0152_,12.84
_2703_,12.84
_3584_,12.84
_0982_,12.82
_0264_,12.8
_0866_,12.8
_2279_,12.8
_3443_,12.8
_3641_,12.8
_3855_,12.8
_4189_,12.8
rf.registers\[10\]\[19\],12.8
_2067_,12.78
_2137_,12.76
_3156_,12.76
_3225_,12.76
_3861_,12.76
_1233_,12.74
_2242_,12.74
_2879_,12.72
_3149_,12.72
_1110_,12.7
_0274_,12.68
_0302_,12.68
_3729_,12.68
_1371_,12.64
_3248_,12.64
_3304_,12.64
_3417_,12.64
_0421_,12.62
_3488_,12.62
_1757_,12.6
_1918_,12.6
an[5],12.6
result[10],12.6
_2309_,12.58
_1320_,12.56
_2156_,12.56
_3110_,12.56
net52,12.555
_2085_,12.54
_3191_,12.54
_3163_,12.525
_2139_,12.52
_3922_,12.52
_2241_,12.5
_2799_,12.5
_2819_,12.5
_3179_,12.5
_3518_,12.5
_3731_,12.5
_0871_,12.48
_2046_,12.48
rf.registers\[10\]\[13\],12.475
_0716_,12.46
_2809_,12.46
_3763_,12.46
_1440_,12.45
_2873_,12.44
_1267_,12.42
_2438_,12.42
_2833_,12.42
_2878_,12.42
_3563_,12.42
_4233_,12.42
_1039_,12.4
_2315_,12.4
_2411_,12.4
_2747_,12.38
_0389_,12.36
_2867_,12.36
_4216_,12.36
seg[5],12.36
_0386_,12.34
_2002_,12.34
_2436_,12.34
_3170_,12.34
_3511_,12.34
_3604_,12.34
display.refresh_counter\[4\],12.34
rf.registers\[15\]\[30\],12.34
_0825_,12.3
_1324_,12.3
_2267_,12.3
_3112_,12.3
_3790_,12.3
_3907_,12.3
_2216_,12.28
_3681_,12.28
_0822_,12.26
_1359_,12.26
_3615_,12.26
_3708_,12.26
_0484_,12.24
_2193_,12.24
_1159_,12.22
rf.registers\[10\]\[21\],12.22
_1595_,12.205
_1877_,12.2
_2675_,12.2
_1381_,12.16
_1710_,12.16
_4220_,12.16
_3805_,12.15
_3314_,12.14
_1422_,12.1
_2282_,12.1
_2723_,12.08
_3066_,12.08
_1201_,12.04
_1293_,12.04
_4078_,12.04
rf.registers\[15\]\[29\],12.04
_0747_,12.02
_0610_,12
_1218_,12
_3385_,12
_2793_,11.98
_3571_,11.98
_4311_,11.98
_1642_,11.96
_2973_,11.96
_2223_,11.94
_2442_,11.94
_3178_,11.92
_3848_,11.92
_3205_,11.9
_3534_,11.9
_1453_,11.88
_2531_,11.88
_2805_,11.88
_2500_,11.86
net42,11.86
_0277_,11.84
_0631_,11.84
_1391_,11.84
_1706_,11.84
_2838_,11.84
_3391_,11.84
_0323_,11.8
_2757_,11.795
_1737_,11.78
_3196_,11.78
net183,11.78
_3515_,11.76
_3776_,11.76
_1346_,11.74
_1790_,11.74
_2486_,11.74
_1907_,11.72
_2656_,11.72
_0671_,11.7
_1174_,11.7
_2481_,11.7
_3382_,11.7
_3622_,11.7
_0890_,11.68
_3355_,11.68
result[9],11.68
seg[0],11.68
_0536_,11.66
_2580_,11.66
_2756_,11.66
_3494_,11.66
_0996_,11.64
_2404_,11.64
_2754_,11.64
_0748_,11.62
_2130_,11.62
_2821_,11.62
_3865_,11.6
_4274_,11.6
_0431_,11.58
_0928_,11.58
_1023_,11.58
_2954_,11.58
_3130_,11.58
_3464_,11.56
_1921_,11.55
_2548_,11.54
_3160_,11.54
_1002_,11.52
_1592_,11.52
_1425_,11.48
_1868_,11.48
_1940_,11.48
_2478_,11.47
_2919_,11.47
_2443_,11.46
_0318_,11.44
_0795_,11.44
_2573_,11.42
_3691_,11.42
rf.registers\[15\]\[31\],11.42
_0678_,11.385
_1316_,11.38
_1452_,11.38
_1637_,11.38
_1751_,11.38
_2843_,11.38
_0920_,11.36
_2856_,11.36
_3501_,11.36
_0528_,11.34
_0912_,11.34
_3559_,11.34
_1395_,11.32
_1799_,11.32
_2680_,11.32
_3673_,11.32
_3528_,11.3
rf.registers\[5\]\[16\],11.3
_0905_,11.28
_1626_,11.28
net95,11.28
_2556_,11.27
_0960_,11.26
_2521_,11.26
_3429_,11.26
rf.registers\[10\]\[18\],11.26
_1793_,11.24
_2765_,11.24
_2832_,11.24
_3286_,11.24
_3343_,11.24
_2512_,11.22
_3743_,11.22
an[1],11.22
an[3],11.22
an[7],11.22
result[1],11.22
result[3],11.22
result[6],11.22
seg[2],11.22
seg[3],11.22
seg[4],11.22
_2971_,11.2
rf.registers\[5\]\[22\],11.2
_0632_,11.18
_1386_,11.18
rf.registers\[10\]\[3\],11.18
_3668_,11.16
_4310_,11.16
_0260_,11.14
_1415_,11.14
_2830_,11.14
_4144_,11.135
_0783_,11.13
_0808_,11.12
_1698_,11.12
_3147_,11.12
_3878_,11.12
_0322_,11.1
_0409_,11.1
_2119_,11.1
_3461_,11.1
_0759_,11.08
_1660_,11.08
_1850_,11.08
_2755_,11.08
_3669_,11.08
display.refresh_counter\[7\],11.08
rf.registers\[25\]\[28\],11.08
rf.registers\[5\]\[9\],11.08
net103,11.08
_3701_,11.06
_3727_,11.06
_2946_,11.02
_0396_,11
_0598_,11
_0758_,11
_1738_,11
_1760_,11
_2667_,11
_3476_,11
_4245_,11
_3359_,10.98
_1720_,10.96
_2213_,10.96
_3153_,10.96
_3167_,10.96
rf.registers\[10\]\[8\],10.96
_2952_,10.92
_3508_,10.92
_0901_,10.9
_1854_,10.9
_1608_,10.88
_1303_,10.86
_2342_,10.86
_2664_,10.86
_3038_,10.86
_3408_,10.86
_1168_,10.84
_3296_,10.84
_3879_,10.84
_0510_,10.82
_2018_,10.82
_2814_,10.82
_3523_,10.82
_1707_,10.8
_0380_,10.78
_0692_,10.78
_0617_,10.76
_1633_,10.76
_3542_,10.76
an[0],10.76
result[2],10.76
rf.registers\[25\]\[5\],10.76
seg[6],10.76
_1999_,10.74
_2587_,10.74
_3472_,10.74
_1828_,10.7
_2870_,10.7
_3256_,10.7
_0393_,10.68
_3017_,10.68
_0969_,10.66
_2159_,10.66
_2269_,10.66
_2533_,10.66
_3955_,10.66
_3973_,10.66
_1526_,10.65
_1393_,10.64
_0286_,10.62
_2079_,10.62
_2285_,10.62
_2484_,10.62
_2534_,10.62
_4287_,10.62
_2892_,10.6
_3060_,10.6
_0453_,10.58
_2136_,10.58
_2154_,10.57
_1798_,10.56
_3237_,10.56
_0309_,10.54
_0937_,10.54
_3151_,10.54
_3898_,10.54
_0338_,10.5
_1504_,10.5
_2204_,10.5
_2861_,10.5
_3124_,10.5
_3796_,10.5
_4297_,10.5
rf.registers\[15\]\[21\],10.5
rf.registers\[15\]\[24\],10.5
_3645_,10.435
rf.registers\[15\]\[2\],10.435
_3013_,10.42
_3204_,10.42
_3777_,10.42
_1207_,10.36
_2008_,10.36
_0798_,10.34
_1635_,10.315
_0236_,10.3
_1064_,10.3
_1408_,10.3
_2268_,10.3
_2815_,10.3
_3628_,10.3
result[0],10.3
result[5],10.3
_0013_,10.285
_2559_,10.28
_2688_,10.28
_2781_,10.28
_3189_,10.28
_3200_,10.28
_2368_,10.26
rf.registers\[15\]\[16\],10.26
rf.registers\[15\]\[26\],10.26
_0308_,10.25
_0850_,10.24
_2188_,10.24
_3537_,10.24
_3956_,10.24
rf.registers\[5\]\[27\],10.24
_1646_,10.22
_2132_,10.22
_1451_,10.2
_2546_,10.2
net262,10.18
_1082_,10.16
_1525_,10.16
_3209_,10.16
_3562_,10.16
_3567_,10.16
_3906_,10.16
rf.registers\[15\]\[17\],10.16
_2423_,10.155
_0307_,10.12
_1791_,10.12
_3883_,10.12
rf.registers\[10\]\[14\],10.12
_2087_,10.06
_1015_,10.04
_1357_,10.04
_1432_,10.04
_1458_,10.04
_2281_,10.04
_1266_,10.02
_1575_,10.01
_0786_,10
_2001_,9.98
_3323_,9.98
_2419_,9.97
rf.registers\[15\]\[10\],9.94
_1354_,9.92
_3266_,9.92
_4276_,9.92
_2078_,9.9
_2206_,9.9
_2845_,9.9
_3611_,9.9
_3613_,9.9
_1215_,9.88
_1913_,9.88
_1488_,9.86
_1514_,9.86
_2699_,9.86
_3761_,9.86
_4118_,9.86
rf.registers\[5\]\[24\],9.86
_1829_,9.855
_2792_,9.85
_3140_,9.84
_3235_,9.84
_4086_,9.84
_3860_,9.835
_0749_,9.82
_3222_,9.82
_3565_,9.82
_3871_,9.82
_4198_,9.82
rf.registers\[10\]\[27\],9.82
_0426_,9.8
_1994_,9.8
_2373_,9.79
_1169_,9.78
_2780_,9.78
_2808_,9.78
_3496_,9.78
_4324_,9.78
_0668_,9.74
_1095_,9.74
_1398_,9.74
_2427_,9.74
_2431_,9.74
_3016_,9.74
_0420_,9.72
_3283_,9.72
_1977_,9.71
_0741_,9.7
_1399_,9.7
_1400_,9.7
_2278_,9.7
_2448_,9.7
_3139_,9.7
_2797_,9.68
rf.registers\[5\]\[25\],9.68
_0314_,9.66
_0315_,9.66
_0432_,9.66
_1362_,9.66
_0384_,9.64
_0424_,9.64
_2220_,9.64
_2691_,9.64
_1076_,9.62
_3183_,9.6
_0891_,9.58
_1756_,9.58
_3190_,9.58
_3214_,9.58
_4329_,9.58
rf.registers\[5\]\[30\],9.58
_2624_,9.56
_0084_,9.545
_0862_,9.54
_1147_,9.54
_3632_,9.54
_0251_,9.52
net45,9.52
_0253_,9.5
_1216_,9.5
_3587_,9.5
rf.registers\[5\]\[17\],9.5
_0701_,9.485
_0805_,9.48
_2020_,9.48
_2641_,9.48
_4046_,9.48
_4115_,9.48
net72,9.48
_1074_,9.46
_2138_,9.46
_2760_,9.46
rf.registers\[5\]\[26\],9.46
_0773_,9.45
_0117_,9.445
_0498_,9.44
_2772_,9.44
_3267_,9.44
_3275_,9.44
net47,9.44
_0530_,9.42
_1058_,9.42
_0986_,9.4
_3280_,9.4
_0443_,9.38
_1547_,9.38
_2164_,9.38
_2683_,9.38
_0271_,9.36
_2430_,9.36
_3586_,9.36
_3610_,9.36
_3670_,9.36
_3827_,9.36
net189,9.36
_1131_,9.34
_2632_,9.34
_1248_,9.32
_2848_,9.32
_3027_,9.28
_3052_,9.28
_3813_,9.28
_3933_,9.28
_0419_,9.26
_2050_,9.26
_0881_,9.24
_1257_,9.24
_2918_,9.24
_3791_,9.24
_1783_,9.2
_3874_,9.18
_2055_,9.16
_2460_,9.16
_2519_,9.16
_2584_,9.16
_2841_,9.16
_3195_,9.16
_3050_,9.14
_3187_,9.14
_3888_,9.14
_1641_,9.12
_2210_,9.12
_3374_,9.12
_3490_,9.12
rf.registers\[5\]\[21\],9.12
net93,9.12
_1496_,9.1
_1814_,9.08
_3404_,9.075
_3218_,9.06
_3706_,9.06
_3977_,9.06
rf.registers\[15\]\[0\],9.06
_0809_,9.04
_1716_,9.04
_2681_,9.04
_3154_,9.04
_3435_,9.04
rf.registers\[15\]\[25\],9.04
_1392_,9.02
_3396_,9.02
_3475_,9.02
_3479_,9.02
_3755_,9.02
_1172_,9
_1348_,9
_4260_,9
_1025_,8.98
_1096_,8.98
_1594_,8.98
_1696_,8.98
_2806_,8.98
_4213_,8.98
_1485_,8.96
_1826_,8.96
_3173_,8.96
an[6],8.96
rf.registers\[15\]\[7\],8.96
_0373_,8.94
_1508_,8.94
_1971_,8.94
_2631_,8.94
_2986_,8.93
_0279_,8.92
_0984_,8.92
_1198_,8.92
_3390_,8.92
_1158_,8.9
_1638_,8.9
_2748_,8.9
_3572_,8.9
_4029_,8.9
_0835_,8.88
_1639_,8.88
_1997_,8.88
_3421_,8.88
_1550_,8.86
_1683_,8.86
_2201_,8.86
_2508_,8.86
_3264_,8.86
_3272_,8.86
_3895_,8.86
_4111_,8.86
_3696_,8.84
_1097_,8.82
_1255_,8.82
_1827_,8.82
_3168_,8.82
_3208_,8.82
_3469_,8.82
_4242_,8.82
net237,8.82
_1224_,8.8
_1986_,8.8
_2794_,8.8
_2860_,8.8
_0324_,8.78
_1420_,8.78
_1841_,8.78
_1858_,8.78
_2585_,8.78
_2778_,8.78
_2945_,8.78
_3192_,8.78
_3249_,8.78
_0377_,8.76
_1271_,8.76
_3845_,8.76
_3909_,8.76
_0171_,8.725
_0751_,8.7
_1314_,8.7
_1377_,8.7
_2674_,8.7
_2695_,8.7
_2936_,8.7
_3243_,8.7
_3399_,8.7
_4289_,8.7
_0350_,8.68
_1883_,8.68
_2498_,8.68
_1715_,8.66
_2161_,8.66
_3036_,8.66
_3989_,8.66
rf.registers\[15\]\[27\],8.66
_1522_,8.64
_1558_,8.64
_1736_,8.64
_2613_,8.625
_0732_,8.62
_1499_,8.62
_2591_,8.62
_3259_,8.61
_0411_,8.6
_1291_,8.6
_2337_,8.6
_3481_,8.6
_4195_,8.6
_0011_,8.585
_3313_,8.57
_1681_,8.56
_2528_,8.56
_3519_,8.56
_3730_,8.56
_4142_,8.56
_1164_,8.54
_0012_,8.52
_1775_,8.52
_2264_,8.52
_2671_,8.52
_3143_,8.52
_3693_,8.52
_1945_,8.5
_2123_,8.5
an[2],8.5
result[15],8.5
result[16],8.5
result[17],8.5
result[18],8.5
result[19],8.5
result[21],8.5
result[22],8.5
result[23],8.5
result[24],8.5
result[25],8.5
result[26],8.5
result[27],8.5
result[29],8.5
result[30],8.5
_2784_,8.48
_2826_,8.48
_0841_,8.44
_0865_,8.44
_1209_,8.44
_2236_,8.44
_2277_,8.44
_2685_,8.44
_2923_,8.44
_3113_,8.44
_3545_,8.44
_0487_,8.4
_1418_,8.4
_2410_,8.4
_3723_,8.4
net120,8.4
result[11],8.37
_1057_,8.36
_2169_,8.36
_2266_,8.36
_2764_,8.36
_3646_,8.36
_4269_,8.36
_1789_,8.34
_3486_,8.34
_0666_,8.32
_0728_,8.32
_2825_,8.32
_3767_,8.32
_0210_,8.305
_2501_,8.28
_2730_,8.28
net116,8.26
_1583_,8.24
_1653_,8.24
_2840_,8.24
_2896_,8.24
_3726_,8.24
_3844_,8.24
_3877_,8.24
_4333_,8.24
rf.registers\[25\]\[8\],8.24
_1130_,8.22
_1725_,8.22
_2200_,8.22
_0298_,8.2
_2447_,8.2
_3315_,8.2
_3451_,8.2
rf.registers\[5\]\[29\],8.2
net55,8.2
net216,8.2
_0135_,8.18
_1942_,8.18
_3884_,8.18
_3915_,8.18
_1661_,8.16
_0385_,8.14
_2931_,8.14
_0230_,8.12
_0287_,8.12
_1119_,8.12
_2062_,8.12
_3088_,8.12
_4281_,8.12
display.refresh_counter\[15\],8.12
_4315_,8.11
_1287_,8.1
_2212_,8.1
_2650_,8.1
_2771_,8.1
_3213_,8.1
_3402_,8.1
_3520_,8.1
_3553_,8.1
_3802_,8.1
_4053_,8.1
_1471_,8.06
_2251_,8.06
_2862_,8.06
_4312_,8.06
_3454_,8.04
_1338_,8.02
_1697_,8.02
_3507_,8.02
net152,8.02
_1073_,8
_1885_,8
_2334_,8
_3261_,8
_3321_,8
_3866_,8
_4145_,8
net176,8
net255,8
_0246_,7.98
_0329_,7.98
_0708_,7.98
_2097_,7.98
_2191_,7.98
_2298_,7.98
_2709_,7.98
_3250_,7.98
_3462_,7.98
rf.registers\[10\]\[20\],7.98
display.refresh_counter\[11\],7.96
_0454_,7.94
_2092_,7.94
_2202_,7.94
_3498_,7.94
_3857_,7.94
_3954_,7.94
_4065_,7.94
_4105_,7.94
_1965_,7.92
net238,7.92
_0292_,7.9
_1396_,7.9
_2108_,7.9
_3719_,7.9
_0095_,7.885
_0970_,7.88
_1442_,7.88
_0301_,7.86
_0829_,7.86
_2231_,7.86
_3467_,7.86
_0290_,7.8
_0818_,7.8
_2453_,7.78
rf.registers\[5\]\[1\],7.78
net85,7.78
_0699_,7.74
_1835_,7.74
_4309_,7.74
rf.registers\[10\]\[24\],7.74
rf.registers\[10\]\[5\],7.74
rf.registers\[25\]\[23\],7.74
rf.registers\[5\]\[7\],7.74
_0195_,7.685
_1891_,7.68
_2007_,7.68
_3626_,7.68
_3945_,7.68
_3983_,7.68
display.refresh_counter\[12\],7.68
_1839_,7.66
_3184_,7.66
_3300_,7.66
_3474_,7.66
_3905_,7.66
_0886_,7.64
_1528_,7.64
_1776_,7.64
_2065_,7.64
_2182_,7.64
_2252_,7.64
_2770_,7.64
_3001_,7.64
_3104_,7.64
_3633_,7.64
_4009_,7.64
_4207_,7.64
_1004_,7.62
_1931_,7.62
_1978_,7.6
_2021_,7.6
_3131_,7.6
_3236_,7.6
_3975_,7.6
_4047_,7.6
_4317_,7.59
_2113_,7.58
rf.registers\[15\]\[8\],7.58
_0304_,7.56
_0439_,7.56
_0935_,7.56
_1600_,7.56
_1659_,7.56
_1878_,7.56
_3360_,7.56
_3405_,7.56
_3415_,7.56
_4039_,7.56
_4116_,7.56
_4133_,7.56
_4139_,7.56
net160,7.56
_0320_,7.54
_1261_,7.54
_1516_,7.54
_2687_,7.54
_3837_,7.54
_0985_,7.52
_1282_,7.52
_1374_,7.52
_2286_,7.52
_2541_,7.52
_3217_,7.52
_3271_,7.52
_3994_,7.52
_4184_,7.52
net136,7.52
_3055_,7.5
_0161_,7.485
_2151_,7.48
_3544_,7.48
_2958_,7.46
_1631_,7.44
_2689_,7.44
_2963_,7.44
_3672_,7.44
_0196_,7.42
_0224_,7.42
_3485_,7.42
_4218_,7.42
_0545_,7.4
_0988_,7.4
_1998_,7.4
_2211_,7.4
_2439_,7.4
_3133_,7.4
_3284_,7.4
_3378_,7.4
_3636_,7.4
_3889_,7.4
_4209_,7.4
net102,7.4
_0111_,7.385
_0293_,7.38
_0719_,7.38
_0820_,7.38
_1752_,7.38
_1851_,7.38
_3436_,7.36
_0097_,7.345
_0681_,7.32
_1337_,7.32
_1750_,7.32
_1785_,7.32
_1847_,7.32
_2673_,7.32
_2875_,7.32
_3306_,7.32
_3831_,7.32
_2510_,7.3
_3407_,7.3
display.refresh_counter\[14\],7.3
_1593_,7.28
rf.registers\[10\]\[7\],7.28
_1135_,7.26
_4263_,7.26
_1728_,7.24
_2490_,7.24
_2842_,7.24
_3433_,7.24
_3835_,7.24
_2367_,7.22
_3207_,7.22
net86,7.22
net137,7.22
_3799_,7.215
_1922_,7.2
_2514_,7.2
_2525_,7.2
_2571_,7.2
_3021_,7.2
rf.registers\[10\]\[29\],7.2
_0824_,7.18
_1405_,7.18
_1500_,7.18
_1954_,7.18
_2820_,7.18
_3431_,7.18
_3846_,7.18
rf.registers\[5\]\[8\],7.18
net162,7.18
net208,7.18
_0076_,7.165
_0183_,7.165
_0796_,7.16
_0007_,7.145
_1030_,7.14
_1611_,7.14
_3947_,7.14
_4122_,7.14
result[20],7.11
_0231_,7.1
_0559_,7.1
_0949_,7.1
_2418_,7.1
_2640_,7.1
_3829_,7.1
_3913_,7.1
net122,7.1
net222,7.1
_0584_,7.08
_1111_,7.08
_4298_,7.08
_0365_,7.06
_0696_,7.06
_1102_,7.06
_1763_,7.06
_1951_,7.06
_2259_,7.06
_3546_,7.06
_3779_,7.06
_4098_,7.06
_4227_,7.06
net206,7.06
net263,7.06
_0434_,7.04
_2121_,7.04
_4004_,7.04
_4018_,7.04
_0316_,7
_2179_,7
_0706_,6.98
_0750_,6.98
_1024_,6.98
_2378_,6.98
_2941_,6.98
_3409_,6.98
_3489_,6.98
_3774_,6.98
_4250_,6.98
rf.registers\[25\]\[31\],6.98
_2574_,6.975
_0242_,6.96
_4215_,6.96
_1548_,6.94
_3532_,6.94
_2956_,6.91
_3281_,6.9
_3447_,6.9
_2926_,6.88
_1269_,6.86
_1966_,6.86
_2256_,6.86
_2493_,6.86
_2509_,6.86
_2635_,6.86
_2670_,6.86
_3180_,6.86
_3524_,6.86
rf.registers\[10\]\[30\],6.86
rf.registers\[25\]\[30\],6.86
_0129_,6.84
_1545_,6.84
_4247_,6.82
rf.registers\[25\]\[2\],6.82
_3292_,6.8
_3051_,6.78
_0178_,6.765
_0058_,6.76
_0306_,6.76
_0780_,6.76
_0821_,6.76
_1559_,6.76
_3746_,6.76
_3999_,6.76
net212,6.76
net241,6.76
_2346_,6.755
_0674_,6.74
_1579_,6.74
_2485_,6.74
_2502_,6.74
_3095_,6.74
_3656_,6.74
_3826_,6.74
rf.registers\[25\]\[24\],6.74
_0404_,6.72
_0768_,6.72
_1238_,6.72
_1677_,6.72
_1691_,6.72
_2711_,6.72
_2895_,6.72
net104,6.72
_0077_,6.705
_1852_,6.7
_0187_,6.685
_0217_,6.685
_0997_,6.66
_2297_,6.66
rf.registers\[15\]\[11\],6.66
rf.registers\[5\]\[15\],6.66
rf.registers\[5\]\[20\],6.66
_0481_,6.64
_1905_,6.64
_2716_,6.64
_3671_,6.64
_4253_,6.64
rf.registers\[15\]\[14\],6.64
net144,6.64
_0317_,6.62
_0819_,6.62
_0672_,6.6
_1796_,6.6
_1849_,6.6
_1861_,6.6
_2783_,6.6
_2866_,6.6
_3393_,6.6
_3514_,6.6
_3579_,6.6
_3713_,6.6
_4006_,6.6
net221,6.6
net256,6.6
_0327_,6.58
_0931_,6.58
_3904_,6.58
_3297_,6.54
_3397_,6.54
_0245_,6.52
_0743_,6.52
_1093_,6.52
_1375_,6.52
_1520_,6.52
_1667_,6.52
_2244_,6.52
_3625_,6.52
_0417_,6.5
