net,length_um
_0346_,71.72
rf.registers\[25\]\[18\],71.2
net113,71.14
_2386_,71.02
_2569_,71
_1980_,70.5
_2605_,70.5
_0644_,70.46
_0683_,70.3
_1699_,70.3
display.refresh_counter\[17\],70.18
_3659_,69.6
net75,69.6
_0476_,69.42
_2094_,69.34
_4188_,69.24
_1142_,69.11
_4182_,69.04
_0490_,68.94
_2816_,68.83
net96,68.62
_0448_,68.4
_0533_,68.38
net10,68.38
_0479_,68.36
_2208_,68.36
rf.registers\[25\]\[15\],68.2
_0477_,68.11
_0736_,68.04
_1961_,67.97
_0504_,67.94
_3929_,67.58
_4143_,67.51
net21,67.26
net68,67.14
_0853_,67.06
_2621_,67.02
_0623_,66.505
imem.address\[0\],66.47
_0718_,66.18
_4318_,65.88
_2420_,65.6
_2939_,65.6
net74,65.5
_3117_,65.18
_0876_,65.04
_4168_,64.91
_3926_,64.56
net105,64.56
net88,63.68
_0954_,63.56
_1163_,62.84
_0491_,62.61
net89,62.46
_0493_,62.38
_3337_,62.375
_3732_,62.14
_0642_,62.1
_2626_,62.08
_0520_,61.88
_0709_,61.72
_2616_,61.72
_4208_,61.34
_2607_,61.02
_0357_,60.95
_0485_,60.94
_1249_,60.48
_2741_,60.44
rf.registers\[25\]\[19\],60.44
_1037_,60.08
_3031_,59.74
_3116_,59.66
_2911_,59.58
rf.registers\[25\]\[14\],59.52
_0461_,59.5
_0679_,59.42
_0856_,59.08
_1692_,58.9
net110,58.84
_1182_,58.82
_3000_,58.42
_0659_,58.38
_1409_,58.38
_0514_,58.36
_4243_,58.36
_2968_,58.06
_1329_,58.02
_2075_,57.76
_0995_,57.66
_0501_,57.62
net1,57.54
_4272_,57.46
_1566_,57.4
_0526_,57.2
_1693_,56.96
_2398_,56.85
_0609_,56.76
_4244_,56.59
_2437_,56.44
_2458_,56.2
_2733_,56.09
_2668_,55.82
_2612_,55.72
_0915_,55.56
_1252_,55.44
_2409_,55.23
_0769_,55.21
_1229_,55.02
_0909_,54.98
_0926_,54.86
_0908_,54.78
net57,54.78
_1244_,54.66
_0575_,54.58
_0521_,54.5
_0785_,54.38
_2257_,54.36
_4275_,54.08
_2774_,53.8
_2233_,53.6
_2372_,53.46
_1156_,53.42
_0667_,53.035
_1904_,53
_2804_,52.98
_1034_,52.96
_1565_,52.89
_0296_,52.7
net53,52.66
_3928_,52.64
_0941_,52.42
_2312_,52.04
_0332_,51.86
_1412_,51.7
_1567_,51.46
_2076_,51.39
_0734_,51.34
_3059_,51.08
_2117_,51.02
_0572_,50.74
_2464_,50.41
_3990_,50.36
_4308_,50.36
_0255_,50.2
_4257_,49.875
_1195_,49.28
_1417_,49.185
_0237_,48.82
_1578_,48.82
_0735_,48.76
_2219_,48.6
_0673_,48.58
_2854_,48.54
_3372_,48.54
_1960_,48.52
_2405_,48.5
rf.registers\[25\]\[16\],48.46
_1651_,48.4
_1724_,48.345
_2109_,48.315
_2526_,48.1
_3093_,48
_2422_,47.94
_2696_,47.89
_2428_,47.82
_4268_,47.66
_2239_,47.5
_1838_,47.42
net18,47.26
_1952_,47.18
_0398_,46.94
_0992_,46.88
_0569_,46.84
_1687_,46.84
_3873_,46.81
_3369_,46.56
_1532_,46.5
_2180_,46.44
_0532_,46.38
_0889_,46.02
_1114_,45.94
_1044_,45.8
_1189_,45.66
_4203_,45.26
_3771_,45.22
_4321_,45.06
_0685_,45.02
_1220_,44.98
_3758_,44.98
_4191_,44.86
_2593_,44.5
_0243_,44.38
_4251_,44.38
_4254_,44.38
_0248_,44.36
_2051_,44.3
_0583_,43.96
_2258_,43.86
_3389_,43.855
net16,43.78
_4259_,43.46
_1726_,43.4
_1115_,43.38
_4332_,43.3
_0807_,43.19
_3785_,42.94
_4202_,42.94
_1094_,42.88
_2583_,42.72
_2024_,42.46
_0720_,42.42
_4265_,42.32
_0577_,42.28
_3812_,42.195
_0739_,42.14
_1695_,42.06
_2324_,42.02
_4278_,41.98
_1968_,41.96
rf.registers\[25\]\[10\],41.66
_2724_,41.54
_1912_,41.5
_1104_,41.42
imem.address\[4\],41.3
_4323_,41.24
_1959_,41.2
_3704_,41.16
_1773_,41.04
_1843_,41.04
_0864_,40.87
_2339_,40.44
_1953_,40.38
_1259_,40.28
_2433_,40.16
_4328_,40.06
_1214_,39.92
_0900_,39.86
_0676_,39.82
_0844_,39.7
_4196_,39.65
_1477_,39.575
_0725_,39.5
_0974_,39.42
_0959_,39.4
_2157_,39.32
_1356_,39.16
_0980_,39.08
_1684_,38.9
_2532_,38.8
_1581_,38.78
_1602_,38.7
_1881_,38.5
imem.address\[2\],38.48
_1809_,38.44
_1286_,38.4
_0387_,38.38
_1406_,38.36
_0252_,38.35
_1732_,38.3
_0507_,38.28
_1652_,37.86
_1621_,37.72
_1118_,37.7
_1319_,37.66
_1610_,37.64
_4235_,37.6
_4306_,37.58
_0511_,37.54
_3834_,37.38
_0930_,37.34
_1735_,37.3
_0857_,37.28
_2376_,37.28
_1941_,37.26
_2823_,37.18
_1349_,37.17
_2227_,37.14
_1175_,37.06
_1625_,37.06
_2566_,36.94
_1060_,36.88
_2645_,36.88
_2300_,36.85
_2088_,36.8
_2026_,36.7
_1435_,36.64
_4270_,36.64
_1353_,36.52
_2192_,36.43
_2744_,36.42
_1740_,36.36
_4299_,36.36
_0363_,36.3
_3395_,36.3
_0235_,36.26
_0525_,36.18
_4237_,36.12
_2272_,36.1
_2988_,35.94
_2318_,35.88
_3679_,35.78
_1645_,35.64
_0698_,35.6
_3684_,35.52
_0607_,35.46
net23,35.44
_1524_,35.42
_1813_,35.42
_2061_,35.31
_1274_,35.26
_2457_,35.26
_1768_,35.24
_3145_,35.22
_1888_,35.2
_2555_,35.06
_2518_,35.02
_1873_,34.76
_2432_,34.62
_4162_,34.52
_0788_,34.5
_1472_,34.44
_1832_,34.42
_1794_,34.41
_0601_,34.3
_2762_,34.28
_1887_,34.24
_1834_,34.2
_1663_,34.19
_1167_,34.02
_0870_,33.94
_0222_,33.92
_1089_,33.9
_2203_,33.88
_2084_,33.84
_1490_,33.78
_1958_,33.69
_1318_,33.66
_3493_,33.66
_1521_,33.6
_3386_,33.56
_2717_,33.54
_2118_,33.52
_1298_,33.38
_0492_,33.34
_1431_,33.28
_1630_,33.22
_1599_,33.2
_3960_,33.16
_2254_,33.12
_2456_,33.11
_1367_,33.1
_0229_,33.08
_1332_,33
_2013_,33
_2429_,33
_4204_,32.98
_2147_,32.91
_0295_,32.88
_0337_,32.88
_2644_,32.88
_1875_,32.82
_1805_,32.8
_1512_,32.72
_1240_,32.7
_0686_,32.62
_0810_,32.54
_2515_,32.54
_3735_,32.54
_3675_,32.525
_4178_,32.46
_2314_,32.32
_2122_,32.18
_0447_,32.04
_0968_,32.04
_4319_,31.98
_0466_,31.96
_1333_,31.96
_1446_,31.92
_2114_,31.92
_1502_,31.9
_0804_,31.88
_1151_,31.88
_1482_,31.86
_3717_,31.85
_1979_,31.8
_1867_,31.78
_0349_,31.74
_0947_,31.74
_1085_,31.74
_0839_,31.72
_1588_,31.64
_0896_,31.6
_0225_,31.58
_2676_,31.56
_1283_,31.54
_0689_,31.52
_3747_,31.4
_1779_,31.34
_2702_,31.3
_2475_,31.28
_0496_,31.2
_3972_,31.08
_1323_,31.06
_1358_,31.02
_3951_,30.98
_4210_,30.94
_2166_,30.92
_0604_,30.86
_3127_,30.86
_2646_,30.85
_1427_,30.8
_1184_,30.72
_3869_,30.68
_2477_,30.55
_3661_,30.38
net60,30.36
_2261_,30.34
_2745_,30.28
_1527_,30.22
_1032_,30.14
_4283_,30.12
_2961_,30.08
_0884_,30.06
_4262_,30.02
_1380_,29.96
_0860_,29.94
_2240_,29.905
_0998_,29.82
_4330_,29.82
_3350_,29.76
_3725_,29.76
_0436_,29.66
_0791_,29.66
_1080_,29.63
_4181_,29.61
_0256_,29.6
_0919_,29.53
_0415_,29.52
_2064_,29.52
_3782_,29.49
